5 5 
0.200001 0.200001 
0.200001 5 
0.200001 0.200001 
5 0.200001 
0.200001 5 
0.200001 5 
0.200001 5 
1.64787 0.200001 
0.486038 2.29899 
0.606848 5 
5 0.678085 
5 0.846631 
5 0.200001 
0.200001 1.05707 
0.200001 5 
0.200001 0.846631 
5 0.200001 
3.20738 1.18116 
0.200001 1.31981 
0.946016 5 
0.606848 0.200001 
5 1.18116 
1.47475 0.200001 
2.05746 0.846631 
0.200001 2.87042 
0.200001 2.87042 
0.434976 0.200001 
5 0.200001 
0.200001 5 
0.200001 5 
1.64787 5 
0.348382 5 
0.678085 1.31981 
1.05707 2.29899 
0.200001 0.200001 
5 5 
0.757686 0.200001 
5 0.348382 
2.05746 5 
0.200001 0.486038 
0.200001 5 
2.29899 0.200001 
5 5 
0.846631 0.200001 
1.18116 2.05746 
5 0.200001 
5 0.200001 
0.200001 0.200001 
0.486038 0.757686 
5 5 
