1 30 
0.400001 50 
2.5 50 
2.5 20 
2.5 50 
2.5 20 
0.400001 20 
0.400001 20 
2.5 20 
0.400001 50 
1.15567 20 
2.5 20 
2.5 50 
1.04941 50 
0.400001 50 
2.5 20 
0.588321 20 
1.15567 50 
2.5 50 
1.04941 50 
1.15567 20 
1.15567 20 
1.40155 20 
1.40155 50 
1.27269 50 
0.400001 20 
2.5 20 
0.400001 20 
0.400001 50 
1.69976 50 
2.5 50 
0.713495 20 
0.588321 20 
1.69976 37.4373 
0.647892 50 
0.534227 20 
2.5 50 
0.400001 50 
1.54347 20 
1.87187 20 
2.5 30.8694 
1.54347 20 
2.5 30.8694 
2.5 20 
1.54347 20 
1.27269 20 
2.5 33.9951 
0.400001 32.3946 
2.5 32.3946 
0.400001 50 
1.69976 50 
